"DATE","POP","AHWPE","INVESTMENT","CONSUMPTION","EMPLOYED_POP","GDP"
"1980-01-01",55052582,1806.13378384347,67264600000,157400500000,22.85,281424.3
"1981-01-01",55371044,1785.58718719604,66221800000,157683900000,22.81,280010
"1982-01-01",55694106,1714.37840102306,66213700000,163583800000,22.85,287835.2
"1983-01-01",55992656,1696.30262228501,64504700000,166906200000,22.82,292672.8
"1984-01-01",56275701,1689.65015974441,63484900000,167343500000,22.69,296068.7
"1985-01-01",56569195,1654.32205274158,63415800000,169473900000,22.63,300003
"1986-01-01",56865193,1648.35168385184,66233400000,174593400000,22.75,306705.6
"1987-01-01",57168409,1659.38566478045,6.8643e+10,180281200000,22.94,312247.8
"1988-01-01",57472651,1667.40755864466,74907500000,1.86282e+11,23.16,327763.8
"1989-01-01",57766282,1651.26678052946,80936700000,193242100000,23.56,341419.2
"1990-01-01",58044701,1644.85066858497,86094400000,199177800000,23.77,355426.8
"1991-01-01",58557577,1637.7817276028,86054300000,201131500000,23.8,359599.2
"1992-01-01",58849943,1635.15248332413,8.6291e+10,2.02595e+11,23.63,367066.4
"1993-01-01",59106166,1626.6858847772,81819100000,202457600000,23.36,364236.3
"1994-01-01",59327585,1623.23356541797,80618100000,204544400000,23.46,368089.7
"1995-01-01",59543659,1601.21158807359,82926300000,208590800000,23.68,379568.1
"1996-01-01",59756533,1597.2815088944,83121100000,214354200000,23.81,385186.6
"1997-01-01",59969944,1595.64532821433,82372400000,213941100000,23.97,389910.2
"1998-01-01",60192790,1585.28968091215,8.6888e+10,220929300000,24.38,405700.8
"1999-01-01",60504420,1578.30450977251,93390400000,227601700000,24.94,416993.6
"2000-01-01",60921384,1558.33880165612,1.00282e+11,238476500000,25.59,435143.1
"2001-01-01",61367388,1537.95660377358,105109400000,244542800000,25.97,448006.8
"2002-01-01",61816234,1503.88673461568,104066200000,249666900000,26.1,452294.6
"2003-01-01",62256970,1507.25677073358,1.05153e+11,254957100000,26.14,456815.3
"2004-01-01",62716306,1530.85601162924,108200700000,258699100000,26.18,466629
