"YEAR","GDP","CONSUMPTION","INVESTMENT","HOURS_WORKED","GDP_T","GDP_C","INVESTMENT_T","INVESTMENT_C","CONSUMPTION_T","CONSUMPTION_C","HOURS_WORKED_T","HOURS_WORKED_C"
1980,5111.91827478682,2859.09387501571,1221.82461850745,749.649797730164,8.51816110832715,-0.0211689006671385,7.05208469889095,-0.0560159104975986,7.94761081684062,-0.0106492098554396,6.59254386652424,-0.0270622945976013
1981,5056.9752667116,2847.76823062971,1195.96444668806,735.56936618247,8.53255913413219,0.00403532396556727,7.0589015778029,-0.0278066294163768,7.9631325940693,0.00884170454356248,6.57770979190233,-0.0229350552930176
1982,5168.14472253132,2937.18333498342,1188.88163857052,703.369697026413,8.5471688489439,-0.00310019971222708,7.06627861581983,-0.0144897288767245,7.97876086339653,-0.00644548838824566,6.56314634022639,0.00726370182759339
1983,5226.98548181033,2980.85877547941,1152.02072214613,691.333982094793,8.56216158852931,0.000571587357965697,7.07505403834088,0.0257812092727558,7.99451369987544,-0.0054530177992973,6.54935348499534,0.010730446453791
1984,5261.03975141953,2973.63688104036,1128.10500574662,681.256056225771,8.57773969065257,0.00965573308268652,7.08621096805398,0.0579164501276903,8.01047363344304,0.0129326117119337,6.53675856268982,0.0128203268791873
1985,5303.29271965069,2995.86904144561,1121.03062452983,661.796726178302,8.59409977720423,0.0180166027123754,7.10047471555428,0.0784709739169829,8.02677772421433,0.0217880916655542,6.52568160532592,0.0307231566951511
1986,5393.55594906712,3070.30348072502,1164.74413443035,659.454383767402,8.61134191274402,0.0183817355574583,7.11799142693572,0.0577347121558951,8.0434337061872,0.0139020168352957,6.51631444165094,0.0249016397896442
1987,5461.89417305631,3153.51088395691,1200.71559101811,665.862629657291,8.62938599580459,0.0238350690856439,7.13812253855303,0.0474495546601199,8.06023143244286,0.00395975495557543,6.50854166884525,0.00745828135558924
1988,5702.95252258331,3241.22859758113,1303.35905333478,671.922355873411,8.64796810756298,-0.000771198569134768,7.1596521396394,-0.013047958493642,8.07682173589421,-0.00688599779953591,6.50199886769132,-0.00814392430131683
1989,5910.35441747835,3345.24039473408,1401.10627164823,673.469782065497,8.66658597850536,-0.0178750992131782,7.18088982388141,-0.0641275737174505,8.09281585190456,-0.0224779849615881,6.49624703615803,-0.0161960916709774
1990,6123.32898398426,3431.4553536937,1483.24306123999,673.586041769166,8.68474505110363,-0.035116128146095,7.20027566455058,-0.101710562498676,8.10789387581523,-0.0328458757228063,6.49092861145733,-0.0216871294169634
1991,6140.95081154058,3434.76472737251,1469.56729442545,665.656045108332,8.7021295188218,-0.0206053456303152,7.21689101065561,-0.0758322682517774,8.12196068281717,-0.0197430267344441,6.48584799171783,-0.0149250966306598
1992,6237.32804635002,3442.56917971866,1466.28859096771,656.562287255727,8.71877473640535,-0.0195324355549964,7.23083431683019,-0.0596554022917148,8.13524960685853,-0.00872371932119798,6.48102644636235,-0.00599112064946983
1993,6162.40782729842,3425.32114162167,1384.27351217469,642.900476210814,8.73492211205606,0.00869925084765377,7.24296236039051,0.010031619334347,8.14819141215484,0.00924090187695015,6.47663449577998,0.0106445639096222
1994,6204.36007971671,3447.71154935769,1358.86367193271,641.877795037596,8.75100837833127,0.0180008157905416,7.2547284726757,0.04032437854341,8.1613041001148,0.0158381292095555,6.47290257156635,0.00850463640405597
1995,6374.61832837649,3503.15723795207,1392.69741552161,636.788048339163,8.76738327527983,0.00730377710407559,7.26748566883154,0.0284879365065285,8.17501326312839,0.0135933542833921,6.46995465967795,0.013517793635522
1996,6445.93286561655,3587.12577920141,1390.99602716242,636.437069178288,8.7842165347927,0.0130118873619427,7.28218372021837,0.0444083844007919,8.18958611229346,0.00447957008422506,6.46782969970726,0.011944156702584
1997,6501.76028178382,3567.47206567343,1373.56139602198,637.779793779655,8.80160485098979,0.0217766191870403,7.29948751883147,0.074325313878739,8.20515392516503,0.0255414060693813,6.46643145331039,0.008438380359439
1998,6740.02318217846,3670.36151671986,1443.49514285681,642.092888876528,8.81951479911737,0.0036961557245796,7.31961787282211,0.0447952385624557,8.22180318359728,0.0137577414818324,6.46554424057641,0.000811260629002497
1999,6891.95268709294,3761.73674584435,1543.53020820628,650.579155600969,8.83769518822987,-0.000414544492025826,7.34205233720275,0.000224922213775791,8.23936495538369,0.00672892515242474,6.46486799779083,-0.0129949770031814
2000,7142.698859238,3914.49577048348,1646.08867060538,654.579514056675,8.85585786582446,-0.0179881095783045,7.36582051460026,-0.0403367355414339,8.25753273090294,-0.0149090749701823,6.46409454863284,-0.0198985175835116
2001,7300.40522500322,3984.89829809931,1712.78920979984,650.846227967204,8.87371882484322,-0.0219663110270343,7.38994975841937,-0.0559286790930607,8.27593271128216,-0.0143343584368889,6.46304566655166,-0.015227738795426
2002,7316.76083664366,4038.85652432337,1683.47686790496,634.969832899708,8.89117393932405,-0.00674906104022455,7.41387078942019,-0.0147457086083476,8.29434018839821,-0.00937670396020529,6.46174211017239,0.00816461965275295
2003,7337.57682071582,4095.23785047682,1689.01570378385,632.855919376992,8.90833874641507,0.00757481273000771,7.43757361515379,0.00567240070783281,8.31267379771229,-0.00490628003264248,6.46035691550802,0.0101141347903653
2004,7440.31384756621,4124.90971646194,1725.24032266824,639.033338227119,8.92539627387485,0.0107279631247614,7.46119570025732,0.00807406300680924,8.33094594172523,0.00614653011428778,6.45898147237506,-0.000975153140942098
