DATE,AUSEMPT
1960-01-01,4.16
1961-01-01,4.17
1962-01-01,4.27
1963-01-01,4.39
1964-01-01,4.54
1965-01-01,4.69
1966-01-01,4.89
1967-01-01,5.01
1968-01-01,5.14
1969-01-01,5.27
1970-01-01,5.48
1971-01-01,5.60
1972-01-01,5.69
1973-01-01,5.86
1974-01-01,5.92
1975-01-01,5.91
1976-01-01,5.97
1977-01-01,6.07
1978-01-01,6.08
1979-01-01,6.18
1980-01-01,6.36
1981-01-01,6.49
1982-01-01,6.49
1983-01-01,6.37
1984-01-01,6.56
1985-01-01,6.77
1986-01-01,7.04
1987-01-01,7.20
1988-01-01,7.47
1989-01-01,7.79
1990-01-01,7.93
1991-01-01,7.74
1992-01-01,7.70
1993-01-01,7.74
1994-01-01,7.98
1995-01-01,8.29
1996-01-01,8.40
1997-01-01,8.49
1998-01-01,8.67
1999-01-01,8.82
2000-01-01,9.04
2001-01-01,9.14
2002-01-01,9.32
2003-01-01,9.54
2004-01-01,9.71
2005-01-01,10.05
2006-01-01,10.31
2007-01-01,10.63
2008-01-01,10.93
2009-01-01,11.01
2010-01-01,11.30
2011-01-01,11.49
