DATE,AVHWPEFRA065NRUG
1950-01-01,2350.9596192230924
1951-01-01,2360.515783052915
1952-01-01,2338.8275198703996
1953-01-01,2313.3122109863307
1954-01-01,2316.427557178356
1955-01-01,2292.047702913501
1956-01-01,2236.061322864384
1957-01-01,2199.6051684174186
1958-01-01,2179.393316195373
1959-01-01,2179.2483721854965
1960-01-01,2188.477149803999
1961-01-01,2165.189575577066
1962-01-01,2177.7688906552735
1963-01-01,2159.3423245722174
1964-01-01,2166.1525250060995
1965-01-01,2153.158429808347
1966-01-01,2144.5720216257964
1967-01-01,2110.471647251372
1968-01-01,2086.6022392741665
1969-01-01,2011.9496980934723
1970-01-01,1992.5079752298745
1971-01-01,1989.7316959282778
1972-01-01,1936.627697591312
1973-01-01,1920.4269431474868
1974-01-01,1888.4677733932053
1975-01-01,1862.6045895044797
1976-01-01,1888.8861637501134
1977-01-01,1850.328210658758
1978-01-01,1819.0271586188412
1979-01-01,1815.5414411216611
1980-01-01,1806.1337838434697
1981-01-01,1785.5871871960385
1982-01-01,1714.378401023063
1983-01-01,1696.302622285008
1984-01-01,1689.650159744409
1985-01-01,1654.322052741584
1986-01-01,1648.3516838518387
1987-01-01,1659.3856647804537
1988-01-01,1667.4075586446568
1989-01-01,1651.266780529462
1990-01-01,1644.8506685849695
1991-01-01,1637.7817276028034
1992-01-01,1635.152483324128
1993-01-01,1626.685884777196
1994-01-01,1623.233565417966
1995-01-01,1601.2115880735885
1996-01-01,1597.2815088944026
1997-01-01,1595.6453282143304
1998-01-01,1585.2896809121482
1999-01-01,1578.3045097725087
2000-01-01,1558.3388016561207
2001-01-01,1537.956603773585
2002-01-01,1503.8867346156794
2003-01-01,1507.2567707335759
2004-01-01,1530.8560116292415
2005-01-01,1532.0759089700239
2006-01-01,1515.0112000601346
2007-01-01,1536.8155008891524
2008-01-01,1542.7960853698994
2009-01-01,1531.451172676088
2010-01-01,1539.8030619086642
2011-01-01,1546.3311889973381
2012-01-01,1540.8806190125276
2013-01-01,1526.2420007355645
2014-01-01,1518.1110338772226
2015-01-01,1519.484356175386
2016-01-01,1522.06935829071
2017-01-01,1505.3678615042022
2018-01-01,1495.4579213203385
2019-01-01,1504.912352837814
