DATE,CLVMNACSCAB1GQFR
1975-01-01,237727.0
1975-04-01,237076.0
1975-07-01,237162.0
1975-10-01,242059.0
1976-01-01,244436.0
1976-04-01,247810.0
1976-07-01,250549.0
1976-10-01,252236.0
1977-01-01,255139.0
1977-04-01,255962.0
1977-07-01,258288.0
1977-10-01,260391.0
1978-01-01,263824.0
1978-04-01,266635.0
1978-07-01,268767.0
1978-10-01,271679.0
1979-01-01,274054.0
1979-04-01,275524.0
1979-07-01,279153.0
1979-10-01,279886.0
1980-01-01,281424.3
1980-04-01,279227.1
1980-07-01,279549.6
1980-10-01,279058.8
1981-01-01,280010.0
1981-04-01,281932.4
1981-07-01,283798.6
1981-10-01,285450.0
1982-01-01,287835.2
1982-04-01,289902.1
1982-07-01,289774.3
1982-10-01,291550.7
1983-01-01,292672.8
1983-04-01,292752.0
1983-07-01,293154.7
1983-10-01,294884.9
1984-01-01,296068.7
1984-04-01,297421.7
1984-07-01,299371.7
1984-10-01,299126.3
1985-01-01,300003.0
1985-04-01,302630.6
1985-07-01,304230.0
1985-10-01,305691.7
1986-01-01,306705.6
1986-04-01,309982.2
1986-07-01,311536.3
1986-10-01,311879.5
1987-01-01,312247.8
1987-04-01,316945.7
1987-07-01,319067.9
1987-10-01,323791.8
1988-01-01,327763.8
1988-04-01,330517.2
1988-07-01,334726.8
1988-10-01,337482.4
1989-01-01,341419.2
1989-04-01,345577.3
1989-07-01,349395.5
1989-10-01,354395.9
1990-01-01,355426.8
1990-04-01,357279.0
1990-07-01,359401.4
1990-10-01,358798.0
1991-01-01,359599.2
1991-04-01,360806.4
1991-07-01,362071.9
1991-10-01,364117.3
1992-01-01,367066.4
1992-04-01,367574.7
1992-07-01,366929.4
1992-10-01,366540.8
1993-01-01,364236.3
1993-04-01,363954.4
1993-07-01,364314.7
1993-10-01,365537.7
1994-01-01,368089.7
1994-04-01,371793.1
1994-07-01,375091.4
1994-10-01,378436.5
1995-01-01,379568.1
1995-04-01,381954.1
1995-07-01,382541.9
1995-10-01,382390.5
1996-01-01,385186.6
1996-04-01,385682.4
1996-07-01,387276.0
1996-10-01,388610.1
1997-01-01,389910.2
1997-04-01,393830.5
1997-07-01,397624.8
1997-10-01,401783.2
1998-01-01,405700.8
1998-04-01,408906.0
1998-07-01,411303.9
1998-10-01,414242.4
1999-01-01,416993.6
1999-04-01,419606.5
1999-07-01,425842.6
1999-10-01,431551.2
2000-01-01,435143.1
2000-04-01,439650.7
2000-07-01,443356.8
2000-10-01,445947.0
2001-01-01,448006.8
2001-04-01,448765.6
2001-07-01,451640.2
2001-10-01,449646.7
2002-01-01,452294.6
2002-04-01,454187.1
2002-07-01,456411.3
2002-10-01,456369.3
2003-01-01,456815.3
2003-04-01,455644.0
2003-07-01,460106.4
2003-10-01,462015.7
2004-01-01,466629.0
2004-04-01,469265.4
2004-07-01,471051.4
2004-10-01,474044.4
2005-01-01,475291.6
2005-04-01,476367.8
2005-07-01,479578.2
2005-10-01,482627.2
2006-01-01,486255.6
2006-04-01,491301.8
2006-07-01,492050.6
2006-10-01,495063.2
2007-01-01,498961.4
2007-04-01,502362.2
2007-07-01,504546.8
2007-10-01,505572.2
2008-01-01,508047.9
2008-04-01,505054.5
2008-07-01,504422.0
2008-10-01,496815.8
2009-01-01,488207.7
2009-04-01,488403.5
2009-07-01,488722.2
2009-10-01,492930.9
2010-01-01,494218.9
2010-04-01,496759.8
2010-07-01,499759.2
2010-10-01,502773.7
2011-01-01,508146.8
2011-04-01,507972.5
2011-07-01,510286.4
2011-10-01,511575.6
2012-01-01,511238.2
2012-04-01,510793.8
2012-07-01,512070.9
2012-10-01,511273.3
2013-01-01,511462.9
2013-04-01,515096.3
2013-07-01,514614.0
2013-10-01,518474.8
2014-01-01,518189.5
2014-04-01,518629.8
2014-07-01,521542.1
2014-10-01,521125.1
2015-01-01,523891.7
2015-04-01,524685.2
2015-07-01,525818.4
2015-10-01,526886.6
2016-01-01,530158.5
2016-04-01,528198.0
2016-07-01,530169.5
2016-10-01,533417.9
2017-01-01,536753.1
2017-04-01,541490.4
2017-07-01,546292.0
2017-10-01,549613.6
2018-01-01,549541.4
2018-04-01,552087.0
2018-07-01,554565.1
2018-10-01,557482.8
2019-01-01,561352.0
2019-04-01,565101.7
2019-07-01,565669.9
2019-10-01,563342.0
2020-01-01,533580.7
2020-04-01,463304.2
2020-07-01,544529.1
2020-10-01,540848.3
2021-01-01,541079.9
2021-04-01,545844.3
2021-07-01,562643.5
2021-10-01,565210.9
2022-01-01,564492.3
2022-04-01,566894.8
2022-07-01,569782.5
2022-10-01,569584.5
2023-01-01,569983.0
2023-04-01,573223.3
2023-07-01,573761.8
