DATE,FRAEMPT
1960-01-01,20.35
1961-01-01,20.35
1962-01-01,20.34
1963-01-01,20.50
1964-01-01,20.72
1965-01-01,20.78
1966-01-01,20.94
1967-01-01,21.00
1968-01-01,20.94
1969-01-01,21.26
1970-01-01,21.55
1971-01-01,21.65
1972-01-01,21.78
1973-01-01,22.09
1974-01-01,22.29
1975-01-01,22.11
1976-01-01,22.29
1977-01-01,22.49
1978-01-01,22.61
1979-01-01,22.75
1980-01-01,22.85
1981-01-01,22.81
1982-01-01,22.85
1983-01-01,22.82
1984-01-01,22.69
1985-01-01,22.63
1986-01-01,22.75
1987-01-01,22.94
1988-01-01,23.16
1989-01-01,23.56
1990-01-01,23.77
1991-01-01,23.80
1992-01-01,23.63
1993-01-01,23.36
1994-01-01,23.46
1995-01-01,23.68
1996-01-01,23.81
1997-01-01,23.97
1998-01-01,24.38
1999-01-01,24.94
2000-01-01,25.59
2001-01-01,25.97
2002-01-01,26.10
2003-01-01,26.14
2004-01-01,26.18
2005-01-01,26.35
2006-01-01,26.63
2007-01-01,27.01
2008-01-01,27.14
2009-01-01,26.78
2010-01-01,26.77
2011-01-01,26.89
