DATE,NAEXKP02FRQ189S
1980-01-01,157400500000.0
1980-04-01,155615200000.0
1980-07-01,156619700000.0
1980-10-01,157881900000.0
1981-01-01,157683900000.0
1981-04-01,159955800000.0
1981-07-01,160342200000.0
1981-10-01,162307400000.0
1982-01-01,163583800000.0
1982-04-01,165348800000.0
1982-07-01,165285700000.0
1982-10-01,167416300000.0
1983-01-01,166906200000.0
1983-04-01,166559200000.0
1983-07-01,165907900000.0
1983-10-01,166666000000.0
1984-01-01,167343500000.0
1984-04-01,168074300000.0
1984-07-01,168310400000.0
1984-10-01,167227200000.0
1985-01-01,169473900000.0
1985-04-01,170178600000.0
1985-07-01,171011500000.0
1985-10-01,173013400000.0
1986-01-01,174593400000.0
1986-04-01,177276300000.0
1986-07-01,178109900000.0
1986-10-01,178732200000.0
1987-01-01,180281200000.0
1987-04-01,182609700000.0
1987-07-01,182977000000.0
1987-10-01,186316200000.0
1988-01-01,186282000000.0
1988-04-01,187339000000.0
1988-07-01,189830300000.0
1988-10-01,191425600000.0
1989-01-01,193242100000.0
1989-04-01,193978600000.0
1989-07-01,196049700000.0
1989-10-01,197138800000.0
1990-01-01,199177800000.0
1990-04-01,200218800000.0
1990-07-01,200095000000.0
1990-10-01,201215000000.0
1991-01-01,201131500000.0
1991-04-01,201304500000.0
1991-07-01,201211100000.0
1991-10-01,202105200000.0
1992-01-01,202595000000.0
1992-04-01,202863000000.0
1992-07-01,204111900000.0
1992-10-01,205277300000.0
1993-01-01,202457600000.0
1993-04-01,203750100000.0
1993-07-01,203639700000.0
1993-10-01,204642700000.0
1994-01-01,204544400000.0
1994-04-01,206499900000.0
1994-07-01,207642200000.0
1994-10-01,208477800000.0
1995-01-01,208590800000.0
1995-04-01,211852000000.0
1995-07-01,210764500000.0
1995-10-01,210889700000.0
1996-01-01,214354200000.0
1996-04-01,213540300000.0
1996-07-01,216514100000.0
1996-10-01,213958600000.0
1997-01-01,213941100000.0
1997-04-01,214309700000.0
1997-07-01,216084800000.0
1997-10-01,219003400000.0
1998-01-01,220929300000.0
1998-04-01,223158200000.0
1998-07-01,226356000000.0
1998-10-01,227562100000.0
1999-01-01,227601700000.0
1999-04-01,229456800000.0
1999-07-01,235428700000.0
1999-10-01,236313200000.0
2000-01-01,238476500000.0
2000-04-01,240634400000.0
2000-07-01,241875600000.0
2000-10-01,242014800000.0
2001-01-01,244542800000.0
2001-04-01,246465200000.0
2001-07-01,247622700000.0
2001-10-01,249108600000.0
2002-01-01,249666900000.0
2002-04-01,251366700000.0
2002-07-01,252913000000.0
2002-10-01,253986900000.0
2003-01-01,254957100000.0
2003-04-01,255160100000.0
2003-07-01,256260299999.99997
2003-10-01,257147900000.0
2004-01-01,258699100000.0
2004-04-01,259844499999.99997
2004-07-01,259668300000.0
2004-10-01,263527800000.0
2005-01-01,264801100000.00003
2005-04-01,265846200000.0
2005-07-01,267103799999.99997
2005-10-01,269044300000.00003
2006-01-01,271042400000.0
2006-04-01,272994300000.0
2006-07-01,273349499999.99997
2006-10-01,273831300000.0
2007-01-01,276402800000.0
2007-04-01,279702000000.0
2007-07-01,281701600000.0
2007-10-01,282363700000.0
2008-01-01,281307600000.0
2008-04-01,281291000000.0
2008-07-01,281507000000.0
2008-10-01,280665400000.0
2009-01-01,280234200000.0
2009-04-01,281978500000.0
2009-07-01,282234500000.0
2009-10-01,284929800000.0
2010-01-01,285527600000.0
2010-04-01,285853600000.0
2010-07-01,287718000000.0
2010-10-01,290696300000.0
2011-01-01,292624800000.0
2011-04-01,287954700000.0
2011-07-01,288231000000.0
2011-10-01,287400300000.0
2012-01-01,287843500000.0
2012-04-01,287849000000.0
2012-07-01,288071200000.0
2012-10-01,288492100000.0
2013-01-01,288466700000.0
2013-04-01,289481000000.0
2013-07-01,289639100000.0
2013-10-01,290976300000.0
2014-01-01,289812400000.0
2014-04-01,291753500000.0
2014-07-01,292618100000.0
2014-10-01,294457600000.0
2015-01-01,295751000000.0
2015-04-01,295953400000.0
2015-07-01,297031500000.0
2015-10-01,296718300000.0
2016-01-01,300061600000.0
2016-04-01,300579300000.0
2016-07-01,300782400000.0
2016-10-01,303001900000.0
2017-01-01,303902600000.0
2017-04-01,305689700000.0
2017-07-01,307337600000.0
2017-10-01,307297400000.0
2018-01-01,308562200000.0
2018-04-01,308688700000.0
2018-07-01,309373700000.0
2018-10-01,309814800000.0
2019-01-01,312972400000.0
2019-04-01,315151300000.0
2019-07-01,315027000000.0
2019-10-01,315036700000.0
2020-01-01,299213600000.0
2020-04-01,264868299999.99997
2020-07-01,313443400000.0
2020-10-01,296564400000.0
2021-01-01,298434300000.0
2021-04-01,302088900000.0
2021-07-01,316797200000.0
2021-10-01,317041200000.0
2022-01-01,313437400000.0
2022-04-01,315892800000.0
2022-07-01,317437500000.0
2022-10-01,315643300000.0
2023-01-01,316764100000.0
2023-04-01,316737700000.0
2023-07-01,319034900000.0
