DATE,POPTOTAUA647NWDB
1960-01-01,10276477
1961-01-01,10483000
1962-01-01,10742000
1963-01-01,10950000
1964-01-01,11167000
1965-01-01,11388000
1966-01-01,11651000
1967-01-01,11799000
1968-01-01,12009000
1969-01-01,12263000
1970-01-01,12507000
1971-01-01,12937000
1972-01-01,13177000
1973-01-01,13380000
1974-01-01,13723000
1975-01-01,13893000
1976-01-01,14033000
1977-01-01,14192000
1978-01-01,14358000
1979-01-01,14514000
1980-01-01,14692000
1981-01-01,14923260
1982-01-01,15184247
1983-01-01,15393472
1984-01-01,15579391
1985-01-01,15788312
1986-01-01,16018350
1987-01-01,16263874
1988-01-01,16532164
1989-01-01,16814416
1990-01-01,17065128
1991-01-01,17284036
1992-01-01,17478635
1993-01-01,17634808
1994-01-01,17805468
1995-01-01,18004882
1996-01-01,18224767
1997-01-01,18423037
1998-01-01,18607584
1999-01-01,18812264
2000-01-01,19028802
2001-01-01,19274701
2002-01-01,19495210
2003-01-01,19720737
2004-01-01,19932722
2005-01-01,20176844
2006-01-01,20450966
2007-01-01,20827622
2008-01-01,21249199
2009-01-01,21691653
2010-01-01,22031750
2011-01-01,22340024
2012-01-01,22733465.0
2013-01-01,23128129.0
2014-01-01,23475686.0
2015-01-01,23815995.0
2016-01-01,24190907.0
2017-01-01,24594202
2018-01-01,24966643
2019-01-01,25340217
2020-01-01,25655289
2021-01-01,25688079
2022-01-01,25978935
