DATE,POPTOTFRA647NWDB
1960-01-01,46649927
1961-01-01,47161641
1962-01-01,47679792
1963-01-01,48189939
1964-01-01,48733997
1965-01-01,49282756
1966-01-01,49817041
1967-01-01,50334012
1968-01-01,50817020
1969-01-01,51272683
1970-01-01,51724116
1971-01-01,52185222
1972-01-01,52637888
1973-01-01,53053660
1974-01-01,53415250
1975-01-01,53715733
1976-01-01,53966558
1977-01-01,54221988
1978-01-01,54486195
1979-01-01,54753575
1980-01-01,55052582
1981-01-01,55371044
1982-01-01,55694106
1983-01-01,55992656
1984-01-01,56275701
1985-01-01,56569195
1986-01-01,56865193
1987-01-01,57168409
1988-01-01,57472651
1989-01-01,57766282
1990-01-01,58044701
1991-01-01,58557577
1992-01-01,58849943
1993-01-01,59106166
1994-01-01,59327585
1995-01-01,59543659
1996-01-01,59756533
1997-01-01,59969944
1998-01-01,60192790
1999-01-01,60504420
2000-01-01,60921384
2001-01-01,61367388
2002-01-01,61816234
2003-01-01,62256970
2004-01-01,62716306
2005-01-01,63188395
2006-01-01,63628261
2007-01-01,64021737
2008-01-01,64379696
2009-01-01,64710879
2010-01-01,65030575
2011-01-01,65345233
2012-01-01,65662240
2013-01-01,66002289
2014-01-01,66312067.0
2015-01-01,66548272.0
2016-01-01,66724104
2017-01-01,66918020
2018-01-01,67158348
2019-01-01,67388001
2020-01-01,67571107
2021-01-01,67749632
2022-01-01,67935660
